Unique_ID,State,District,Disease,Cases,Deaths,Start_Date,Report_Date,Status,Comments
BH/SUP/2019/01/01,Bihar,Supaul,Measles,05,00,02-01-19,06-01-19,outbreak. House,to house survey done. All
GJ/MHS/2019/01/05,Gujarat,Mahesana,Diarrheal,12,00,01-01-19,02-01-19,vomiting might,be due to consumption of
JH/GDA/2019/01/06,Jharkhand,Godda,Chickenpox,36,00,08-01-19,08-01-19,confirmed as,Chicken Pox by the RRT team
KN/HAV/2019/01/09,Karnataka,Haveri,Diarrheal,25,00,31-12-18,01-01-18,survey done.,2 Blood Samples sent to DPHL
KN/HAV/2019/01/10,Karnataka,Haveri,Diarrheal,13,00,03-01-19,04-01-19,to house,survey done. 2 Blood samples and 1
TN/DMP/2019/01/14,Tami,Nadu,Dharmapuri Fever,29,00,04-01-19,07-01-19,survey done.,"Source reduction, ant larval"
TN/AIR/2019/01/17,Tami,Nadu,Ariyallur Leptospirosis,13,00,03-01-19,07-01-19,samples sent,"to DPHL Ariyalur, 2 samples"
BH/NAW/2019/01/24,Bihar,Nawada,Measles,18,00,19-12-18,rapid,response team,including DIO& Epidemiologist with
CT/BAS/2019/01/27,Chhattisgarh,Baster,Dengue,05,00,10-12-18,container.,Medical camp,"organized, house to house survey"
KN/DAV/2019/01/31,Karnataka,Davangere,Chikungunya,32,00,20-12-18,found,positive for,chikungunya by IgM Elisa. 01 water
KL/CNR/2019/01/34,Kerala,Kannur,Food Poisoning,44,00,25-12-18,cooking,and other,"purposes in the function, collected for"
KL/KAS/2019/01/35,Kerala,Kasaragod,Diarrheal,49,00,26-12-18,the,temple before,starting festival Educated the temple
OR/GJM/2019/01/38,Odisha,Ganjam,Mumps,18,00,28-12-18,Kukudakhandi.,District RRT,investigated the outbreak.
UP/BUD/2019/01/39,Uttar,Pradesh,Budaun Measles,78,00,20-11-18,epidemiologically,linked. Majority,of cases were under 10
Kerala,Ernakulam,Food,Poisoning,75,00,26-12-18,18.12.18.,All age,groups were equally affected. Water
AS/JRT/2019/02/042,Assam,Jorhat,Dengue?,12,00,06-01-19,07-01-19,parasite. All,cases treated symptomatically.
BH/BHJ/2019/02/043,Bihar,Bhojpur,Chickenpox,36,00,08-01-19,11-01-19,done. Majority,of the cases were children
between,the,age,group of,6,15,years.,All,cases,
GJ/AND/2019/02/046,Gujarat,Anand,Diarrheal,75,00,10-01-19,10-01-19,were negative,for cholera culture. Out of 5 water
JH/ESI/2019/02/048,Jharkhand,East,Singhbhum Chickenpox,14,00,01-01-19,07-01-19,house survey,done. 5 serum samples collected
MH/GAD/2019/02/051,Maharashtra,Gadchiroli,Malaria,03,01,07-01-19,09-01-19,1 sample,was found positive for malaria parasite
BH/BHJ/2019/02/057,Bihar,Bhojpur,Measles,167,04,01-01-19,samples,and 5,throat samples were collected and sent to
BH/BUX/2019/02/058,Bihar,Buxar,Measles,06,00,05-01-19,Affected,children were,in the age group 3 to 7 years. Blood
MH/AKL/2019/02/059,Bihar,Purnia,Measles,06,00,08-01-19,to,10yrs of,age. 3 blood samples were collected and sent to
BH/PAC/2019/02/060,Bihar,Champaran,Measles,25,00,15-12-18,samples,were collected,and sent to Microbiology department
BH/PAC/2019/02/061,Bihar,Champaran,Measles,06,00,20-12-18,samples,were collected,and sent to Microbiology department
PB/SAS/2019/02/065,Punjab,Sasnagar,Chickenpox,12,00,12-12-18,survey,done. Affected,cases were in the age group 21-29
KN/DVA/2019/03/0073,Karnataka,Davangere,Chickenpox,15,00,16-01-19,16-01-19,done. 04,blood samples collected were tested
